,q_0.005,q_0.01,q_0.015,q_0.02,q_0.025,q_0.03,q_0.035,q_0.04,q_0.045,q_0.05,q_0.5,q_0.95,q_0.955,q_0.96,q_0.965,q_0.97,q_0.975,q_0.98,q_0.985,q_0.99,q_0.995
Hour 11,0.048353311333694686,0.08617333168162919,0.1199544525415203,0.1507068387008476,0.17902787730367858,0.20506144022342299,0.22980676518350632,0.26104210117491544,0.2932692497653435,0.3325897527287141,1.4053956622094763,0.3319204534957606,0.302102579892121,0.27009820315009164,0.23566428164370645,0.20768618235231046,0.18087397068346597,0.1516968246870223,0.1204946856610522,0.08622122113781823,0.04801697686631844
Hour 12,0.055041316952742184,0.09551309050920063,0.13481039180788315,0.18279211442525542,0.23271425836331203,0.2759351486112322,0.31531145060421223,0.3514634892372959,0.38265015020230453,0.4123604565771834,1.443533167844542,0.36570010695854516,0.339401701466817,0.31110823178728375,0.28157987098638076,0.2508556734136059,0.2179460449818594,0.1829352302865855,0.14534474167464104,0.1049469134905982,0.058987404945186186
Hour 13,0.04396226294405878,0.07687568265033295,0.10527220860920979,0.13568947640445359,0.17422588200624756,0.20732706486248828,0.23565512051383203,0.2764466856734303,0.31412831575080224,0.35783050652645065,1.2926894819422183,0.37166993515509267,0.3431944957527907,0.3136226201848502,0.28241586001361774,0.2500293023539513,0.21622635193459683,0.18029921303900096,0.1423570093612528,0.10117639495501166,0.05588893082521449
Hour 14,0.048095547613061486,0.08411961173944134,0.13276778799026287,0.17948713195507532,0.21836633548587545,0.2569428417161287,0.28851720265013114,0.31610121443652595,0.34278899855155176,0.3775386251762225,1.2997569907494415,0.3596255143904691,0.3325610556892262,0.3044488063391262,0.2749068651956976,0.24397494383466198,0.21097384259772048,0.17632209800612902,0.13908208689537943,0.09903318765013581,0.05471063227628012
Hour 15,0.05836862467984936,0.10252449244634772,0.14115772953014083,0.17606291155045325,0.20751947686126235,0.23724413110599482,0.26421431485121105,0.3004539675634911,0.33639012705770943,0.37179925765823674,1.3464366522551328,0.36750637696295596,0.34031802412761497,0.31225834033965555,0.2828778227631355,0.25161927715535964,0.21890479933316537,0.18371916642986544,0.1455708827043679,0.10482466017565967,0.05829991795479616
Hour 16,0.06287026631238955,0.11252096948156064,0.15686190901563735,0.20959191435487234,0.2629961238309425,0.3077719294203256,0.35141767517719147,0.39414283124218163,0.43323417293246697,0.46860771571845505,1.447627104455033,0.34012427357359876,0.31599163778735,0.2905727378692283,0.26397982612805265,0.23521581305711894,0.2044346010426524,0.17219623010399895,0.13691643572897352,0.09852335537850085,0.054894439133389664
Hour 17,0.06471796207910971,0.11504007265228194,0.16050228640584946,0.20202537857303327,0.23994070092223377,0.2752694505228797,0.3091515146606738,0.34098491518385304,0.37095763587675373,0.3993443525916579,1.3365018327188156,0.3203598827938404,0.29881632928929597,0.2751390073950778,0.25088544031712395,0.22422241037653082,0.19582091290234646,0.1651440337675024,0.1320314380198281,0.0958187199286392,0.054069247453088706
Hour 18,0.0628105405208836,0.11205397214013177,0.15537939520707997,0.1947886712032771,0.23197163470680787,0.26644243515024774,0.29834948079901286,0.3290263752664579,0.35803382721799043,0.38559425486864,1.2802648986149148,0.32433908248872906,0.3018971861973169,0.2776322662570609,0.2519528364820758,0.2249278811862251,0.19597424838491284,0.16538536468811527,0.13187690525656828,0.09502302643587032,0.05322316569930438
Hour 19,0.07326553671673759,0.12920111314635194,0.17821633179044044,0.2229322367221441,0.26414966097243714,0.30366089980178884,0.34048788776064975,0.3748515336488438,0.4079595063584579,0.4392375175675088,1.2005226513449034,0.322365922067216,0.2949152144642606,0.2655920527260641,0.23797126128851254,0.21410275601487777,0.188037534189649,0.15970766923573582,0.12843325999759367,0.09421945134621239,0.05398770161814387
Hour 20,0.06599234233481398,0.1185717476781704,0.16585524466565432,0.20948174004609318,0.25025979221601885,0.28873923256514994,0.3247635389322334,0.359355929890966,0.39237769705189113,0.42365869109278276,1.2492900593604428,0.2921051956256989,0.2733912592574969,0.25302754430571356,0.23149015921273872,0.20801123861184154,0.1819745452670096,0.154497742398436,0.12393249512050818,0.09013429721984655,0.05112337157196616
Hour 21,0.0614616411230229,0.1099349886075403,0.15392680589867577,0.1943245754602527,0.2315313393130268,0.26670744135742636,0.3000899622172515,0.3316361400731803,0.3622525563707429,0.3909677272258565,1.168626229477409,0.29943761484552833,0.279608456748267,0.2581319588322357,0.23555728473176482,0.2113744876755503,0.18497607538544253,0.156319366877823,0.12560105927183854,0.09091585699148962,0.051511702352709306
Hour 22,0.05368083025891158,0.09639014990886251,0.13470827128867532,0.16988374669070952,0.2031359290729085,0.23444639017865343,0.26392965421963815,0.29191532873303067,0.3191117735446393,0.3447079157891158,0.8669327144524142,0.25708241178136026,0.24045397296156162,0.2226035801220967,0.20372881393155623,0.1830674540780375,0.1606288931614211,0.13625016657118297,0.10988198608364864,0.07994082437376238,0.04574524045171383
Hour 23,0.052276407393260615,0.09353239917943083,0.13040791819286635,0.16398041745182063,0.19538490798577854,0.224964864672668,0.25257289484306367,0.27867473413268595,0.30374487656408583,0.32786969519961,0.9644961172307356,0.27210850924735785,0.2456168114373563,0.21974849258267778,0.20004653982381712,0.17953836118678407,0.1574386807291742,0.1332364096772203,0.10682114565460617,0.07731624389835391,0.04360962961607897
Hour 24,0.07045688717387323,0.12671263908519084,0.17829171217114742,0.22554566164592876,0.27010730274789324,0.31162376270194003,0.35141828801878866,0.38928066497338826,0.42606019415188945,0.4612334277541637,1.6203364914430773,0.3686628908127785,0.3215108833477892,0.27271688457358134,0.22648969305707406,0.18521102576548185,0.15647668445017712,0.13393770835313176,0.10871840813799347,0.08005320337565111,0.04615854035294378
